"created","text"
"20/04/2017","@agungsa94 Maksud saudara sidang sarjana skripsi atau kompre?"
"20/04/2017","@Fjodi_ Seluruhnya disampaikan melalui https://t.co/tf86rXVdtk"
"20/04/2017","@gunadarma_ sidang skripsi"
"20/04/2017","[20/04/2017] Ucap Janji Mahasiswa Angkatan XIII Program Studi Diploma (at Kampus L Universitas Gunadarma) [pic]  https://t.co/5OhejoEMNZ"
"20/04/2017","Jadwal Event (Pameran Foto ""Metamorfosa (Dalam Kabut Purba) 2017"" - Universitas Gunadarma - 27 ...) Lihat di A ... https://t.co/Vo9YzpqKs2"
"20/04/2017","@gunadarma_ Apkah Brosur Biaya Kuliah Tahun 2017 bisa dilihat secara online ? Mohon info brosur biaya kuliah diposting ke web resmi UG."
"20/04/2017","Jadwal Event (FIKTI Art Music and Exhibition 2017 Sensasi Menjelajahi Budaya Indonesia - ...) Lihat di Acara Baru - https://t.co/0HTxHy6bCW"
"19/04/2017","@gunadarma_ ka ini betulan? Kita datang ke kampus langsung di tes untuk beasiswa atau bagaimana? https://t.co/8MNiAZVit1"
"19/04/2017","@ida_kirei17 Sudah A."
"19/04/2017","@bbaekhyunloves Silakan dapat datang sesuai informasi tersebut."
"19/04/2017","Foto kisaran tahun 2003an, Villa Motik, basic training HMI Gunadarma Depok. https://t.co/hKvFeSp2St"
"19/04/2017","BANK DKI SI TAPI FROM DEPOK jadi gagal libur  (at Bank DKI  kampus G universitas gunadarma)  https://t.co/HcpVvemIkn"
"19/04/2017","@jijinjeong Gaa, gunadarma. Bagus ga?"
"19/04/2017","@ggraviana Seperti yang disampaikan pada pengumuman sebelumnya bahwa hari ini libur."
"19/04/2017","@RiskaAmeliaG ka kuliah di. Gunadarma ya"
"19/04/2017","Artipena mengundang Universitas Gunadarma untuk menghadiri acara tersebut karena UniversitasGunadarma merupakan salah satu anggota Artipena"
"19/04/2017","#beritaDepok Lisuma Gunadarma Jadi Fasilitator Peringatan Hari Lansia di Depok: Lingkar https://t.co/k1c6koyyqh"
"19/04/2017","#PemkotDepok: Lisuma Gunadarma Jadi Fasilitator Peringatan Hari Lansia di Depok https://t.co/Z5DK2aFDot"
"19/04/2017","#InfoDPK Lisuma Gunadarma Jadi Fasilitator Peringatan Hari Lansia di Depok https://t.co/6MCMCN2IFB https://t.co/QXU5JLpCae"
"19/04/2017","Lisuma Gunadarma Jadi Fasilitator Peringatan Hari Lansia di Depok https://t.co/ECHgVLh4IH"
"19/04/2017","#TuitDepok Lisuma Gunadarma Jadi Fasilitator Peringatan Hari Lansia di Depok #Depok #Tuit"
